CID,Vegetation,Surface_Temperature___C_
1,0.1662966,40.1815567
1,0.3819856,35.4646988
1,0.4455386,36.0765152
1,0.4291559,32.8157272
1,0.1749112,38.3871078
1,0.4169143,34.1829453
1,0.3724892,40.0038223
1,0.3804162,35.3489075
1,0.4114667,34.9451523
1,0.4399808,33.4514847
1,0.4239595,34.9622421
1,0.4251028,33.8001175
1,0.4565364,32.1184464
1,0.4113615,33.8548050
1,0.4520778,33.3626175
1,0.3603632,33.7796097
1,0.3456519,36.1072769
1,0.1855673,43.3671646
1,0.3301111,40.7079391
1,0.2373347,28.6047287
1,0.4411110,32.1355362
1,0.3371354,39.6996231
1,0.2797096,38.8656235
1,0.4583221,31.7424698
1,0.0418575,43.2235947
1,0.3616455,34.3401718
1,0.4411408,36.1448746
1,0.5037458,33.2361526
1,0.2852251,40.9574509
1,0.1747228,40.9095993
1,0.4449719,34.1487503
1,0.0912836,44.9394455
1,0.4524219,34.5281601
1,0.1452158,44.4004478
1,0.4670299,34.8391953
1,0.1188062,38.5284500
1,0.2048312,44.2520447
1,0.4184099,41.3949661
1,0.0225682,18.5147324
1,0.2618681,41.4564896
1,0.3631180,34.5862656
1,0.4428923,32.9011765
1,0.4335322,33.6565628
1,0.4163391,36.2440109
1,0.4293023,36.1141129
1,0.3001107,35.9705582
1,0.2654873,30.4983139
1,0.3945476,34.6819687
1,0.2191457,40.9232712
1,0.3883317,37.5599442
1,0.3403580,36.4285812
1,0.3558406,37.8162918
1,0.3792136,33.2053909
1,0.4032099,35.3108902
1,0.3850478,37.3138504
1,0.4260790,35.4168472
1,0.3703949,33.1917191
1,0.0422389,45.0723648
1,0.0964095,46.6416245
1,0.3220049,35.2869644
1,0.4205447,33.3899612
1,0.4602974,32.8738327
1,0.3613768,37.8607254
1,0.3603465,33.4993362
1,0.5068091,31.1853409
1,0.4526716,32.5046921
1,0.1460074,52.2198257
1,0.1406709,43.7704849
1,0.3567037,42.7917633
1,0.4641558,39.4706192
1,0.4615487,34.5418320
1,0.4421726,31.6365128
1,0.4227855,33.5506058
1,0.4338928,36.7772141
1,0.3906720,34.1111526
1,0.4421962,34.4153671
1,0.4326414,33.4241409
1,0.4231373,35.3587418
1,0.1317604,44.8034134
1,0.2878956,38.7665024
1,0.3557469,31.0417709
1,0.3931045,37.5838699
1,0.3753040,34.8870468
1,0.5174695,33.2224808
1,0.3895003,36.0354996
1,0.3776387,33.9915237
1,0.2867060,38.4793930
1,0.1098588,47.9062881
1,0.2621300,39.1185532
1,0.4190943,40.6942673
1,0.2765108,30.2043686
1,0.4718790,32.9182663
1,0.3066972,30.1086655
1,0.3315075,29.4524002
1,0.1687874,42.4408798
1,0.3981599,39.7782364
1,0.3614156,36.3499680
1,0.3726979,37.2694168
1,0.4523619,32.9319382
1,0.4002550,34.6614609
1,0.3874195,33.6975784
1,0.4340093,36.1824722
1,0.4368125,31.8552628
1,-0.0187460,34.0598831
1,0.4580616,38.0076981
1,0.2573677,39.1869125
1,0.0407546,20.1160297
1,0.3135169,36.8284836
1,0.4020981,36.8353195
1,0.4383480,33.0857468
1,0.2839595,37.7445145
1,0.0574751,35.3792496
1,0.4454315,35.1604843
1,0.1182650,47.1440659
1,0.3760287,34.0017776
1,0.2169187,44.0781021
1,0.4174877,32.5969772
1,0.4168520,39.3133926
1,0.0909221,40.3456345
1,0.4005769,41.5897903
1,0.1038602,48.2207413
1,0.3654541,36.0491714
1,0.3788778,36.9583664
1,0.1253252,48.0088272
1,0.3411301,31.6399307
1,0.3505353,34.4427109
1,0.3096025,48.5060196
1,0.0390721,46.1801834
1,0.1540044,24.3390427
1,0.3210651,41.5521927
1,0.4233775,33.8548050
1,0.4279362,35.0306015
1,0.4462154,37.0472336
1,0.4027499,31.4280167
1,0.4776063,33.7556839
1,0.2122364,39.9491348
1,0.1454902,39.5455856
1,0.2650166,43.3774185
1,0.3956259,32.3098679
1,0.4505709,33.5471878
1,0.5168717,32.2004929
1,0.5031116,34.5520859
1,0.3976773,36.2816086
1,0.2329908,41.5034866
1,0.3268852,30.3342514
1,0.3801686,35.1510315
1,0.4246752,32.8088913
1,0.3898305,33.4651566
1,0.1244021,44.9770432
1,0.4564150,34.4563828
